name,2019_yr,2018_yr,2017_yr,2016_yr,2015_yr,2014_yr
Alabama,47.3,59.3,33.2,59,43.3,61
Alaska,54.8,61.5,54.8,58.9,52.9,68.3
Arizona,47.4,56.1,34.1,53,41.6,57.4
Arkansas,41.3,53.2,40.3,51.1,37.9,52.9
California,49.3,58.2,30.7,55.7,45.9,61.7
Colorado,61.4,71.9,54.7,70.6,51.7,71.6
Connecticut,54.8,64.9,42.5,61.4,45.9,66.8
Delaware,51.2,64.4,34.9,63.1,49,65.8
District of Columbia,43.7,60.7,35.7,61.6,29.6,61.7
Florida,54.3,65.6,43.3,63.3,42.2,66.6
Georgia,54.1,59.8,38.6,59.3,40.6,62.7
Hawaii,39.5,43.2,36.5,44.5,40.3,49
Idaho,48.6,60.9,39.8,61,42.9,64.8
Illinois,51.5,63.1,40.8,59.3,43.1,64.1
Indiana,46.5,57.9,28.7,56,38.1,60.3
Iowa,57.9,69.1,50.3,70.6,50.7,69.7
Kansas,51.1,59.7,43.3,58.2,42.6,63.5
Kentucky,48.7,59.6,44.9,56.2,44.3,59
Louisiana,45.1,60.6,44.9,60.8,40,61.8
Maine,59.9,72.9,58.7,69.3,55.9,71.8
Maryland,54.2,67,42,67.3,46.7,67.8
Massachusetts,54.6,68.3,44.7,66.2,49.4,67.3
Michigan,57.7,65.7,43.2,65.4,45.1,69.7
Minnesota,64.2,74.7,50.6,76.4,55.8,78.1
Mississippi,43.8,56.6,29.4,59.8,37.4,61.8
Missouri,53.3,62.2,33.6,62.6,45.7,68.2
Montana,61.3,64.3,47.5,63.5,48.4,67.1
Nebraska,51.5,64,41.4,61.1,38.7,63.7
Nevada,46.5,57.4,29.6,56.5,41.4,57.2
New Hampshire,54,72.5,48.3,70.9,46.1,72.5
New Jersey,53.5,65.8,32.5,62.2,37.7,67.7
New Mexico,46.8,54.9,35.7,54.8,44.7,61.2
New York,45.7,57.2,29,53.5,36.3,59.6
North Carolina,49,64.9,41.2,65.4,39.8,66.1
North Dakota,58.7,61.7,45,60.4,46.6,63.6
Ohio,50.9,64.2,36.2,65.1,46.2,67.8
Oklahoma,42.1,52.7,30,49.8,39.1,56.3
Oregon,61.2,68,53.4,64.2,53.9,68.3
Pennsylvania,51.7,64.7,36.5,60.1,42.4,64.2
Rhode Island,47.5,59.7,42.4,58.9,45.4,62.3
South Carolina,44.5,57.3,35.2,56.8,40.3,58.2
South Dakota,53.1,60,44.7,60.1,53.9,65.6
Tennessee,44.7,51.8,29.8,52.3,35.1,57.4
Texas,45.6,51.4,29.9,50.3,32.7,54.5
Utah,50.6,57.9,30.3,56.1,36.8,57.1
Vermont,55.7,64.8,40.8,61.2,49.8,67.7
Virginia,54.4,67.3,36.8,66.6,39.1,67.6
Washington,58.3,65.7,43.1,65.8,54.3,67.3
West Virginia,42.5,51.1,32,47.2,37.2,51.2
Wisconsin,61.4,67.3,56.9,73.3,52.4,72.7
Wyoming,47.9,60.2,39.7,59,46,63.1
